#data table from Stancil 1994, https://articles.adsabs.harvard.edu/pdf/1994ApJ...430..360S table 2
(nxn)	3150	4200	5040	6300	8400	12600	16800	25200	
50	7.34-5	1.43-4	2.04-4	2.87-4	3.89-4	4.97-4	5.49-4	5.98-4	
60	0.0100	0.0150	0.0186	0.0230	0.0276	0.0319	0.0337	0.0353	
70	0.1676	0.1965	0.2105	0.2215	0.2266	0.2246	0.2211	0.2163	
80	0.8477	0.8199	0.7797	0.7183	0.6376	0.5477	0.5037	0.4622	
90	2.1113	1.8166	1.6135	1.3823	1.1403	0.9157	0.8176	0.7313	
100	3.4427	2.8069	2.4213	2.0136	1.6137	1.2616	1.1129	0.9845	
110	4.3470	3.5155	3.0224	2.5070	2.0062	1.5685	1.3846	1.2262	
120	4.6981	3.8841	3.3806	2.8402	2.3019	1.8203	1.6147	1.4358	
130	4.6169	3.9763	3.5361	3.0358	2.5120	2.0239	1.8096	1.6202	
140	4.2811	3.8840	3.5476	3.1272	2.6535	2.1858	1.9729	1.7809	
150	3.8331	3.6850	3.4660	3.1434	2.7388	2.3082	2.1033	1.9138	
160	3.3624	3.4344	3.3301	3.1098	2.7840	2.4020	2.2106	2.0287	
170	2.9167	3.1670	3.1662	3.0438	2.7985	2.4707	2.2958	2.1244	
180	2.5172	2.9031	2.9909	2.9573	2.7898	2.5175	2.3610	2.2019	
190	2.1697	2.6538	2.8149	2.8600	2.7657	2.5495	2.4128	2.2682	
200	1.8726	2.4243	2.6444	2.7573	2.7300	2.5682	2.4516	2.3222	
210	1.6208	2.2160	2.4821	2.6522	2.6843	2.5725	2.4748	2.3597	
220	1.4085	2.0289	2.3297	2.5473	2.6314	2.5653	2.4852	2.3839	
230	1.2295	1.8617	2.1883	2.4453	2.5755	2.5517	2.4889	2.4012	
240	1.0785	1.7129	2.0581	2.3479	2.5188	2.5347	2.4885	2.4144	
250	0.9508	1.5804	1.9387	2.2553	2.4622	2.5145	2.4840	2.4230	
260	0.8424	1.4623	1.8293	2.1680	2.4063	2.4920	2.4762	2.4277	
270	0.7501	1.3568	1.7296	2.0865	2.3530	2.4701	2.4687	2.4327	
280	0.6712	1.2626	1.6392	2.0118	2.3045	2.4525	2.4660	2.4433	
290	0.6033	1.1783	1.5577	1.9443	2.2620	2.4415	2.4707	2.4626	
300	0.5448	1.1029	1.4843	1.8834	2.2256	2.4369	2.4825	2.4901	
350	0.3477	0.8233	1.2037	1.6442	2.0832	2.4343	2.5567	2.6400	
400	0.2412	0.6469	1.0069	1.4533	1.9363	2.3659	2.5349	2.6658	
450	0.1782	0.5283	0.8605	1.2951	1.7920	2.2630	2.4604	2.6222	
500	0.1389	0.4487	0.7547	1.1780	1.6859	2.1963	2.4228	2.6179	
600	0.0927	0.3396	0.6120	1.0109	1.5255	2.0874	2.3564	2.6031	
700	0.0685	0.2749	0.5175	0.8894	1.3923	1.9700	2.2587	2.5323	
800	0.0542	0.2335	0.4534	0.8033	1.2940	1.8800	2.1824	2.4760	
900	0.0448	0.2041	0.4046	0.7334	1.2067	1.7876	2.0941	2.3965	
1000	0.0382	0.1813	0.3635	0.6701	1.1194	1.6816	1.9827	2.2828	
2000	0.0159	0.0901	0.1982	0.3951	0.7108	1.1448	1.3953	1.6590	
3000	0.0100	0.0596	0.1325	0.2699	0.4954	0.8132	1.0003	1.1999	
4500	6.88-3	0.0425	0.0962	0.1994	0.3723	0.6216	0.7710	0.9325	
5000	6.41-3	0.0400	0.0908	0.1889	0.3540	0.5932	0.7371	0.8932	
10000	3.56-3	0.0229	0.0526	0.1110	0.2109	0.3582	0.4479	0.5463	
15000	2.50-3	0.0161	0.0373	0.0790	0.1506	0.2567	0.3216	0.3929	
20000	1.90-3	0.0123	0.0286	0.0607	0.1161	0.1982	0.2487	0.3042	
